District,Total,Big,Small,Poultry
,Bongaigaon,0,0,0
,Charaideo,0,0,0
,Dhemaji,0,0,0
,Dibrugarh,0,0,0
,Goalpara,0,0,0
,Golaghat,0,0,0
,Hailakandi,0,0,0
,Hojai,0,0,0
,Jorhat,321,235,86
,Karimganj,0,0,0
,Morigaon,0,0,0
,Nagaon,1713,955,298
,Sivasagar,8007,3164,2867
,Udalguri,0,0,0
,Total,10101,4414,3251
,District,Total,Big,Small
,Biswanath,0,0,0
,Bongaigaon,0,0,0
,Charaideo,0,0,0
,Dhemaji,0,0,0
,Dibrugarh,0,0,0
,Goalpara,0,0,0
,Golaghat,1,0,1
,Hailakandi,0,0,0
,Hojai,0,0,0
,Jorhat,0,0,0
,Karimganj,0,0,0
,Morigaon,0,0,0
,Nagaon,0,0,0
,Sivasagar,0,0,0
,Udalguri,0,0,0
,Total,1,0,1
