month,DISTRICT_FINALISED,REVENUE_CIRCLE_FINALISED,Awarded Value
2022_12,BAKSA,Baksa,12297934.92
2022_12,BARPETA,Barpeta,31404153.1
2022_12,CACHAR,Silchar,1499396.0
2022_12,CHIRANG,Bijni (Pt),12296516.45
2022_12,CHIRANG,Sidli (Pt),2210582.0
2022_12,GOLAGHAT,Golaghat,33751069.0
2022_12,JORHAT,Jorhat West,12625450.37
2022_12,KAMRUP METRO,Guwahati,27976011.0
2022_12,KOKRAJHAR,Kokrajhar (Pt),30975199.700000003
2022_12,NAGAON,Kaliabor,2216601.0
2022_12,NAGAON,Nagaon,18413193.0
2022_12,SONITPUR,Tezpur,13499869.0
2022_12,UDALGURI,Udalguri,3899900.0
