0,1,2,3,4,5,6,7,8,9,10,11,12,13
Assam Flood Report as on 16-08-2024,,,,,,,,,,,,,
Particulars,Assam Flood Report as on 16-08-2024,,,,,,,,,,,,
"Rivers flowing
above Danger
Level (as per
CWC bulletin
issued at 8
AM)",Rivers flowing above danger level,,,,,Disang (Nanglamuraghat),,,,,,,
,Rivers flowing above highest flood level,,,,,Nil,,,,,,,
"District
Affected",No. of,Name of Affected Districts,,,,,,,,,,,
,Districts,,,,,,,,,,,,
,Affected,,,,,,,,,,,,
,6,"Dibrugarh, Sivasagar, Charaideo, Darrang, Golaghat, Dhemaji",,,,,,,,,,,
"No. Of
Revenue
Circles
Affected",11,,,,,,,,,,,,
"Name Of
Revenue
Circle
Affected",District,Total,Revenue Circle,,,,,,,,,,
,Charaideo,1,Mahmora,,,,,,,,,,
,Darrang,1,Mangaldoi,,,,,,,,,,
,Dhemaji,1,Jonai,,,,,,,,,,
,Dibrugarh,3,"Tingkhong, Moran, Naharkatia",,,,,,,,,,
,Golaghat,2,"Khumtai, Bokakhat",,,,,,,,,,
,Sivasagar,3,"Demow, Nazira, Sivsagar",,,,,,,,,,
,Total,11,,,,,,,,,,,
"Villages
Affected",District,Total,Revenue Circle,,,,,,,,,,
,Dibrugarh,64,"(Tingkhong | 57), (Moran | 5), (Naharkatia | 2)",,,,,,,,,,
,Sivasagar,31,"(Demow | 27), (Nazira | 1), (Sivsagar | 3)",,,,,,,,,,
,Charaideo,43,(Mahmora | 43),,,,,,,,,,
,Darrang,2,(Mangaldoi | 2),,,,,,,,,,
,Golaghat,17,"(Khumtai | 5), (Bokakhat | 12)",,,,,,,,,,
,Dhemaji,1,(Jonai | 1),,,,,,,,,,
,Total,158,,,,,,,,,,,
"Population
And Crop
Area Affected",District,Male,Female,Children,Total,Total Crop Area (in Hect.),,Population and Crop Area Details,,,,,
,,,,,Population,,,,,,,,
,Charaideo,9465,6927,7827,24219,4939.77,,"(Sonari | Population Affected: 0 | Crop Area: 648.77),
(Mahmora | Population Affected: 24219 | Crop Area:
4291)",,,,,
,Darrang,99,89,35,223,20,,(Mangaldoi | Population Affected: 223 | Crop Area: 20),,,,,
,Dhemaji,50,44,45,139,2,,(Jonai | Population Affected: 139 | Crop Area: 2),,,,,
,Dibrugarh,4623,4256,3275,12154,135,,"(Tingkhong | Population Affected: 10390 | Crop Area:
105), (Moran | Population Affected: 1479 | Crop Area: 30),
(Naharkatia | Population Affected: 285 | Crop Area: 0)",,,,,
,Goalpara,0,0,0,0,0,,(Lakhipur | Population Affected: 0 | Crop Area: 0),,,,,
,Golaghat,920,790,150,1860,165,,"(Khumtai | Population Affected: 0 | Crop Area: 38),
(Bokakhat | Population Affected: 1860 | Crop Area: 127)",,,,,
,Sivasagar,53,42,13,108,58,,"(Demow | Population Affected: 0 | Crop Area: 0), (Nazira |
Population Affected: 108 | Crop Area: 0), (Sivsagar |
Population Affected: 0 | Crop Area: 58)",,,,,
,Udalguri,0,0,0,0,0,,(Udalguri | Population Affected: 0 | Crop Area: 0),,,,,
,Total,15210,12148,11345,38703,5319.77,,,,,,,
"Relief Camps
/ Centres
Opened",District,Total,Relief Camp,,,,Relief Distribution Centres,,,,,,
,Charaideo,15,"8 (Sonari | 0), (Mahmora | 8)",,,,"7 (Sonari | 0), (Mahmora | 7)",,,,,,
,Darrang,0,0 (Mangaldoi | 0),,,,0 (Mangaldoi | 0),,,,,,
,Dhemaji,1,1 (Jonai | 1),,,,0 (Jonai | 0),,,,,,
,Dibrugarh,31,"13 (Tingkhong | 13), (Moran | 0), (Naharkatia | 0)",,,,"18 (Tingkhong | 17), (Moran | 1), (Naharkatia | 0)",,,,,,
,Goalpara,0,0 (Lakhipur | 0),,,,0 (Lakhipur | 0),,,,,,
,Golaghat,0,"0 (Khumtai | 0), (Bokakhat | 0)",,,,"0 (Khumtai | 0), (Bokakhat | 0)",,,,,,
,Sivasagar,0,"0 (Demow | 0), (Nazira | 0), (Sivsagar | 0)",,,,"0 (Demow | 0), (Nazira | 0), (Sivsagar | 0)",,,,,,
,Udalguri,0,"0 (Udalguri |
0)",,,,0 (Udalguri | 0),,,,,,
,Total,47,22,,,,25,,,,,,
,District,Total,Revenue Circlewise,,,Male,Female,Children,Pregnant /,Person with Disability,,,
,,,,,,,,,Lactating,,,,
,,,,,,,,,Mother,,,,
,Charaideo,1267,"(Sonari | 0), (Mahmora | 1267)",,,474,489,304,0,0,,,
,Darrang,0,(Mangaldoi | 0),,,0,0,0,0,0,,,
,Dhemaji,122,(Jonai | 122),,,42,35,45,0,0,,,
,Dibrugarh,2255,"(Tingkhong | 2255), (Moran | 0),
(Naharkatia | 0)",,,903,868,484,0,0,,,
,Goalpara,0,(Lakhipur | 0),,,0,0,0,0,0,,,
,Golaghat,0,"(Khumtai | 0), (Bokakhat | 0)",,,0,0,0,0,0,,,
,Sivasagar,0,"(Demow | 0), (Nazira | 0), (Sivsagar |
0)",,,0,0,0,0,0,,,
,Udalguri,0,(Udalguri | 0),,,0,0,0,0,0,,,
,Total,3644,,,,1419,1392,833,0,0,,,
"Non Camp
Inmates in
Relief
Distribution
Centers",District,Total,Revenue Circlewise,,,Male,Female,Children,Animals,,,,
,,,,,,,,,Big,Small,Poultry,,
,,,,,,,,,,,,,
,Charaideo,2303,"(Sonari | 0), (Mahmora | 2303)",,,869,680,754,0,0,0,,
,Darrang,0,(Mangaldoi | 0),,,0,0,0,0,0,0,,
,Dhemaji,0,(Jonai | 0),,,0,0,0,0,0,0,,
,Dibrugarh,4102,"(Tingkhong | 4102), (Moran | 0),
(Naharkatia | 0)",,,1766,1703,633,873,717,0,,
,Goalpara,0,(Lakhipur | 0),,,0,0,0,0,0,0,,
,Golaghat,0,"(Khumtai | 0), (Bokakhat | 0)",,,0,0,0,0,0,0,,
,Sivasagar,0,"(Demow | 0), (Nazira | 0), (Sivsagar |
0)",,,0,0,0,0,0,0,,
,Udalguri,0,(Udalguri | 0),,,0,0,0,0,0,0,,
,Total,6405,,,,2635,2383,1387,873,717,0,,
"Human Lives
Lost -
Confirmed",District,Total,Flood Death,General,Male,Female,Children,,Others,Revenue Circlewise,,,
,,,,Drowning,,,Male,Female,,,,,
,,,,(Non,,,,,,,,,
,,,,Flood),,,,,,,,,
,Dibrugarh,0,0,0,0,0,0,0,0,"0 (Tingkhong | 0), (Moran | 0),
(Naharkatia | 0)",,,
,Sivasagar,0,0,0,0,0,0,0,0,"0 (Demow | 0), (Nazira | 0), (Sivsagar
| 0)",,,
,Charaideo,0,0,0,0,0,0,0,0,"0 (Sonari | 0), (Mahmora | 0)",,,
,Goalpara,0,0,0,0,0,0,0,0,0 (Lakhipur | 0),,,
,Darrang,0,0,0,0,0,0,0,0,0 (Mangaldoi | 0),,,
,Udalguri,0,0,0,0,0,0,0,0,0 (Udalguri | 0),,,
,Golaghat,0,0,0,0,0,0,0,0,"0 (Khumtai | 0), (Bokakhat | 0)",,,
,Dhemaji,0,0,0,0,0,0,0,0,0 (Jonai | 0),,,
,Total,0,0,0,0,0,0,0,0,,,,
"Human Lives
Lost - Missing",District,Total,Male,Female,Children,,Others,Revenue Circlewise,,,,,
,,,,,Male,Female,,,,,,,
,Dibrugarh,0,0,0,0,0,0,"0 (Tingkhong | 0), (Moran | 0), (Naharkatia | 0)",,,,,
,Sivasagar,0,0,0,0,0,0,"0 (Demow | 0), (Nazira | 0), (Sivsagar | 0)",,,,,
,Charaideo,0,0,0,0,0,0,"0 (Sonari | 0), (Mahmora | 0)",,,,,
,Goalpara,0,0,0,0,0,0,0 (Lakhipur | 0),,,,,
,Darrang,0,0,0,0,0,0,0 (Mangaldoi | 0),,,,,
,Udalguri,0,0,0,0,0,0,0 (Udalguri | 0),,,,,
,Golaghat,0,0,0,0,0,0,"0 (Khumtai | 0), (Bokakhat | 0)",,,,,
,Dhemaji,0,0,0,0,0,0,0 (Jonai | 0),,,,,
,Total,0,0,0,0,0,0,,,,,,
"Animals
Affected",District,Total,Big,Small,Poultry,,,,,,,,
,Charaideo,0,0,0,0,,,,,,,,
,Darrang,825,155,170,500,,,,,,,,
,Dhemaji,0,0,0,0,,,,,,,,
,Dibrugarh,1950,1023,927,0,,,,,,,,
,Goalpara,0,0,0,0,,,,,,,,
,Golaghat,0,0,0,0,,,,,,,,
,Sivasagar,17859,7895,6421,3543,,,,,,,,
,Udalguri,0,0,0,0,,,,,,,,
,Total,20634,9073,7518,4043,,,,,,,,
,,,,,,,,,,,,,
"Animals
Washed
Away",District,Total,Big,Small,Poultry,,,,,,,,
,Charaideo,0,0,0,0,,,,,,,,
,Darrang,0,0,0,0,,,,,,,,
,Dhemaji,0,0,0,0,,,,,,,,
,Dibrugarh,0,0,0,0,,,,,,,,
,Goalpara,0,0,0,0,,,,,,,,
,Golaghat,0,0,0,0,,,,,,,,
,Sivasagar,0,0,0,0,,,,,,,,
,Udalguri,0,0,0,0,,,,,,,,
,Total,0,0,0,0,,,,,,,,
"Houses
Damaged",District,Fully,Fully Pukka,Fully Total,,Partially,Partially,Partially Total,,,,,
,,Kuccha,,,,Kuccha,Pukka,,,,,,
,Dibrugarh,0,0,0,,0,0,0,,,,,
,Sivasagar,0,0,0,,0,0,0,,,,,
,Charaideo,0,0,0,,0,0,0,,,,,
,Goalpara,0,0,0,,0,0,0,,,,,
,Darrang,0,0,0,,0,0,0,,,,,
